account_id,num_logins,num_unique_ips,num_unique_devices,num_unique_countries,num_unique_cities,primary_ip_share,max_implied_speed_kmh,max_concurrent_streams,logins_per_day,ground_truth_label,rule_based_label,anomaly_score,cluster,cluster_tier,anomaly_tier
acct_000029,42.0,2.0,2.0,2.0,2.0,0.976,667.9,2.0,0.76,Safe,Potential Abuse,0.4347560050655616,0,Safe,Safe
acct_000030,78.0,9.0,5.0,6.0,8.0,0.474,245912.0,4.0,1.33,Potential Abuse,Potential Abuse,0.47816792865842156,2,Potential Abuse,Safe
acct_000031,81.0,3.0,2.0,2.0,2.0,0.556,211.2,2.0,1.37,Safe,Potential Abuse,0.4610953023649106,0,Safe,Safe
acct_000032,49.0,3.0,3.0,3.0,3.0,0.959,8647.0,4.0,0.84,Safe,Potential Abuse,0.5258094034201066,0,Safe,Potential Abuse
acct_000033,57.0,3.0,2.0,2.0,2.0,0.509,383.4,2.0,0.98,Safe,Potential Abuse,0.44181012469147257,0,Safe,Safe
acct_000034,24.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.44,Safe,Safe,0.4900796983986271,0,Safe,Safe
acct_000035,56.0,2.0,3.0,2.0,2.0,0.982,30293.4,2.0,0.94,Safe,Potential Abuse,0.4578412945956802,0,Safe,Safe
acct_000036,64.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.11,Safe,Safe,0.4365391683013608,0,Safe,Safe
acct_000037,33.0,2.0,2.0,2.0,2.0,0.97,541.0,2.0,0.56,Safe,Potential Abuse,0.4596605090174236,0,Safe,Safe
acct_000038,96.0,11.0,4.0,9.0,9.0,0.438,198326.0,3.0,1.62,Potential Abuse,Abusive,0.5106126485021406,2,Potential Abuse,Potential Abuse
acct_000039,73.0,2.0,3.0,2.0,2.0,0.986,1834.9,2.0,1.25,Safe,Potential Abuse,0.4407360355707511,0,Safe,Safe
acct_000040,24.0,2.0,2.0,1.0,1.0,0.958,0.0,1.0,0.5,Safe,Safe,0.5171834848277753,0,Safe,Potential Abuse
acct_000041,88.0,9.0,6.0,7.0,7.0,0.489,385191.3,4.0,1.49,Potential Abuse,Potential Abuse,0.4854397310784932,2,Potential Abuse,Safe
acct_000042,68.0,10.0,4.0,6.0,9.0,0.544,508814.9,3.0,1.15,Potential Abuse,Potential Abuse,0.49458987326627457,2,Potential Abuse,Safe
acct_000043,186.0,68.0,6.0,16.0,20.0,0.129,838957.6,9.0,3.19,Abusive,Abusive,0.6001313098738084,1,Abusive,Abusive
acct_000044,65.0,6.0,4.0,5.0,5.0,0.431,44928.6,2.0,1.14,Potential Abuse,Potential Abuse,0.4894100350429497,2,Potential Abuse,Safe
acct_000045,57.0,6.0,6.0,4.0,4.0,0.351,104741.5,3.0,0.96,Potential Abuse,Potential Abuse,0.5029107132776022,2,Potential Abuse,Potential Abuse
acct_000046,56.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.96,Safe,Safe,0.42788635835778727,0,Safe,Safe
acct_000047,40.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.69,Safe,Safe,0.4295855335661419,0,Safe,Safe
acct_000048,82.0,6.0,5.0,5.0,5.0,0.537,136282.6,3.0,1.54,Potential Abuse,Potential Abuse,0.46006939251072765,2,Potential Abuse,Safe
acct_000049,72.0,3.0,3.0,2.0,2.0,0.528,2254.7,2.0,1.25,Safe,Potential Abuse,0.44425391275720805,0,Safe,Safe
acct_000050,53.0,6.0,6.0,4.0,4.0,0.491,7110.5,3.0,0.91,Potential Abuse,Potential Abuse,0.5054661923986893,2,Potential Abuse,Potential Abuse
acct_000051,49.0,2.0,2.0,1.0,1.0,0.51,0.0,2.0,0.86,Safe,Safe,0.44660367634048914,0,Safe,Safe
acct_000052,40.0,2.0,1.0,1.0,1.0,0.525,0.0,2.0,0.69,Safe,Safe,0.4598115672241959,0,Safe,Safe
acct_000053,81.0,2.0,3.0,2.0,2.0,0.988,305.5,2.0,1.43,Safe,Potential Abuse,0.4662827674566638,0,Safe,Safe
acct_000054,67.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.12,Safe,Potential Abuse,0.4893021666278916,0,Safe,Safe
acct_000055,32.0,3.0,1.0,3.0,3.0,0.938,2734.2,1.0,0.54,Safe,Potential Abuse,0.5609608550093346,0,Safe,Potential Abuse
acct_000056,123.0,11.0,6.0,6.0,7.0,0.431,12731.1,3.0,2.12,Potential Abuse,Potential Abuse,0.5454954789998914,2,Potential Abuse,Potential Abuse
acct_000057,65.0,3.0,3.0,2.0,2.0,0.969,49405.7,2.0,1.09,Safe,Potential Abuse,0.4804157427519793,0,Safe,Safe
acct_000058,113.0,11.0,3.0,9.0,10.0,0.513,556116.2,4.0,1.91,Potential Abuse,Abusive,0.5252057954928618,2,Potential Abuse,Potential Abuse
acct_000059,24.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.43,Safe,Safe,0.4642899593193601,0,Safe,Safe
acct_000060,198.0,52.0,8.0,16.0,19.0,0.197,1112232.4,6.0,3.33,Abusive,Abusive,0.614532205291289,1,Abusive,Abusive
acct_000061,73.0,2.0,3.0,2.0,2.0,0.986,1839.4,3.0,1.22,Safe,Potential Abuse,0.4693168394846619,0,Safe,Safe
acct_000062,67.0,7.0,3.0,5.0,6.0,0.552,116105.4,3.0,1.17,Potential Abuse,Potential Abuse,0.46085457261379803,2,Potential Abuse,Safe
acct_000063,73.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.26,Safe,Potential Abuse,0.4967231875321701,0,Safe,Safe
acct_000064,83.0,3.0,2.0,2.0,3.0,0.976,11401.6,2.0,1.4,Safe,Potential Abuse,0.4935961738645792,0,Safe,Safe
acct_000065,359.0,111.0,6.0,16.0,20.0,0.092,959220.5,9.0,6.05,Abusive,Abusive,0.6171381857098353,1,Abusive,Abusive
acct_000066,74.0,4.0,6.0,3.0,3.0,0.5,191171.2,3.0,1.25,Potential Abuse,Potential Abuse,0.5042572461321059,2,Potential Abuse,Potential Abuse
acct_000067,112.0,11.0,3.0,7.0,8.0,0.527,680235.9,3.0,1.88,Potential Abuse,Potential Abuse,0.509608924695484,2,Potential Abuse,Potential Abuse
acct_000068,40.0,2.0,3.0,1.0,1.0,0.525,0.0,2.0,0.7,Safe,Safe,0.45179901316936855,0,Safe,Safe
acct_000069,24.0,2.0,3.0,1.0,1.0,0.583,0.0,2.0,0.45,Safe,Safe,0.4803966980437356,0,Safe,Safe
acct_000070,64.0,2.0,3.0,2.0,2.0,0.984,1661.5,2.0,1.08,Safe,Potential Abuse,0.4314537772664227,0,Safe,Safe
acct_000071,82.0,3.0,2.0,3.0,3.0,0.976,23408.0,2.0,1.38,Safe,Potential Abuse,0.5007373248342267,0,Safe,Potential Abuse
acct_000072,24.0,2.0,3.0,1.0,1.0,0.708,0.0,2.0,0.44,Safe,Safe,0.4957407956052221,0,Safe,Safe
acct_000073,97.0,5.0,5.0,5.0,5.0,0.495,167148.0,3.0,1.66,Potential Abuse,Potential Abuse,0.47138526983677465,2,Potential Abuse,Safe
acct_000074,84.0,3.0,2.0,3.0,3.0,0.964,150249.4,3.0,1.43,Safe,Potential Abuse,0.5280475394235589,0,Safe,Potential Abuse
acct_000075,40.0,2.0,1.0,2.0,2.0,0.975,32.3,2.0,0.69,Safe,Potential Abuse,0.47512157694924245,0,Safe,Safe
acct_000076,41.0,2.0,3.0,1.0,1.0,0.537,0.0,2.0,0.7,Safe,Safe,0.4510032636774248,0,Safe,Safe
acct_000077,32.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.57,Safe,Safe,0.43933822621322616,0,Safe,Safe
acct_000078,56.0,2.0,2.0,1.0,1.0,0.589,0.0,2.0,0.98,Safe,Safe,0.4426486707131428,0,Safe,Safe
acct_000079,74.0,5.0,3.0,4.0,4.0,0.568,203030.5,2.0,1.27,Safe,Potential Abuse,0.4865703222346107,2,Potential Abuse,Safe
acct_000080,64.0,2.0,2.0,1.0,1.0,0.5,0.0,2.0,1.08,Safe,Safe,0.45399888903556845,0,Safe,Safe
acct_000081,40.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.72,Safe,Safe,0.4319325738287997,0,Safe,Safe
acct_000082,32.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,0.54,Safe,Potential Abuse,0.5003813309121861,0,Safe,Safe
acct_000083,40.0,2.0,1.0,1.0,1.0,0.575,0.0,1.0,0.68,Safe,Safe,0.5042736815816989,0,Safe,Potential Abuse
acct_000084,81.0,2.0,2.0,2.0,2.0,0.988,250.4,2.0,1.39,Safe,Potential Abuse,0.45801112969529195,0,Safe,Safe
acct_000085,24.0,2.0,1.0,2.0,2.0,0.958,152.0,2.0,0.44,Safe,Potential Abuse,0.5106195877083064,0,Safe,Potential Abuse
acct_000086,81.0,3.0,3.0,2.0,2.0,0.531,21588.3,2.0,1.38,Safe,Potential Abuse,0.4688581783479278,2,Potential Abuse,Safe
acct_000087,50.0,3.0,3.0,2.0,2.0,0.5,1038.0,2.0,0.86,Safe,Potential Abuse,0.44450343342127174,0,Safe,Safe
acct_000088,24.0,2.0,1.0,1.0,1.0,0.958,0.0,1.0,0.41,Safe,Safe,0.5300551067801235,0,Safe,Potential Abuse
acct_000089,70.0,5.0,6.0,5.0,5.0,0.486,381178.7,3.0,1.18,Potential Abuse,Potential Abuse,0.4734523781191839,2,Potential Abuse,Safe
acct_000090,24.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.41,Safe,Safe,0.49793305623420175,0,Safe,Safe
acct_000091,406.0,122.0,6.0,16.0,20.0,0.133,965670.0,10.0,6.83,Abusive,Abusive,0.6462792507928947,1,Abusive,Abusive
acct_000092,41.0,2.0,2.0,1.0,1.0,0.512,0.0,2.0,0.73,Safe,Safe,0.45006972736534284,0,Safe,Safe
acct_000093,65.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.13,Safe,Safe,0.42718071333978047,0,Safe,Safe
acct_000094,48.0,2.0,1.0,2.0,2.0,0.979,1956.8,2.0,0.82,Safe,Potential Abuse,0.4400315227861474,0,Safe,Safe
acct_000095,82.0,2.0,3.0,1.0,1.0,0.585,0.0,3.0,1.41,Safe,Potential Abuse,0.525509559815723,0,Safe,Potential Abuse
acct_000096,56.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.96,Safe,Potential Abuse,0.4957535104225026,0,Safe,Safe
acct_000097,48.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.83,Safe,Safe,0.4275820276425205,0,Safe,Safe
acct_000098,64.0,2.0,3.0,1.0,1.0,0.984,0.0,3.0,1.13,Safe,Potential Abuse,0.505919314921962,0,Safe,Potential Abuse
acct_000099,80.0,2.0,1.0,1.0,1.0,0.525,0.0,3.0,1.38,Safe,Potential Abuse,0.5291190243850444,0,Safe,Potential Abuse
acct_000100,65.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.11,Safe,Potential Abuse,0.48699023784154266,0,Safe,Safe
acct_000101,118.0,10.0,3.0,7.0,7.0,0.441,93160.5,3.0,1.98,Potential Abuse,Potential Abuse,0.5016962386659882,2,Potential Abuse,Potential Abuse
acct_000102,375.0,124.0,6.0,16.0,20.0,0.211,1112232.4,8.0,6.3,Abusive,Abusive,0.6448034399661182,1,Abusive,Abusive
acct_000103,70.0,4.0,3.0,4.0,4.0,0.571,733570.6,3.0,1.19,Potential Abuse,Potential Abuse,0.48574124943420977,2,Potential Abuse,Safe
acct_000104,65.0,2.0,2.0,2.0,2.0,0.985,635.7,2.0,1.11,Safe,Potential Abuse,0.429212063852119,0,Safe,Safe
acct_000105,211.0,71.0,11.0,16.0,20.0,0.123,1019636.0,7.0,3.58,Abusive,Abusive,0.5787450524375602,1,Abusive,Abusive
acct_000106,80.0,2.0,1.0,2.0,2.0,0.988,341.7,2.0,1.37,Safe,Potential Abuse,0.46139968567613027,0,Safe,Safe
acct_000107,277.0,92.0,14.0,16.0,20.0,0.224,842707.3,7.0,4.67,Abusive,Abusive,0.6243927365846813,1,Abusive,Abusive
acct_000108,73.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.25,Safe,Safe,0.4408384986349554,0,Safe,Safe
acct_000109,48.0,2.0,1.0,1.0,1.0,0.542,0.0,2.0,0.82,Safe,Safe,0.454020165964919,0,Safe,Safe
acct_000110,40.0,2.0,3.0,1.0,1.0,0.5,0.0,2.0,0.74,Safe,Safe,0.4640003922233144,0,Safe,Safe
acct_000111,80.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.36,Safe,Safe,0.47840000058056564,0,Safe,Safe
acct_000112,397.0,117.0,9.0,16.0,19.0,0.151,965670.0,8.0,6.72,Abusive,Abusive,0.6468751409437509,1,Abusive,Abusive
acct_000113,77.0,8.0,5.0,6.0,6.0,0.494,797944.1,4.0,1.3,Potential Abuse,Potential Abuse,0.4774422343306432,2,Potential Abuse,Safe
acct_000114,72.0,2.0,1.0,2.0,2.0,0.986,963.1,2.0,1.25,Safe,Potential Abuse,0.44246365229315526,0,Safe,Safe
acct_000115,57.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,0.96,Safe,Potential Abuse,0.48874319037424524,0,Safe,Safe
acct_000116,32.0,3.0,1.0,2.0,2.0,0.5,89.6,2.0,0.56,Safe,Potential Abuse,0.5003294310232848,0,Safe,Safe
acct_000117,81.0,3.0,2.0,2.0,2.0,0.58,600.4,3.0,1.38,Safe,Potential Abuse,0.47651961599542264,0,Safe,Safe
acct_000118,118.0,9.0,3.0,6.0,7.0,0.492,107296.7,5.0,1.99,Potential Abuse,Potential Abuse,0.5312364985782265,2,Potential Abuse,Potential Abuse
acct_000119,57.0,4.0,5.0,3.0,3.0,0.526,9272.9,4.0,1.0,Potential Abuse,Potential Abuse,0.5120882750205306,2,Potential Abuse,Potential Abuse
acct_000120,32.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.59,Safe,Safe,0.43074489529109583,0,Safe,Safe
acct_000121,72.0,2.0,3.0,2.0,2.0,0.986,674.0,2.0,1.22,Safe,Potential Abuse,0.4382921402757379,0,Safe,Safe
acct_000122,58.0,3.0,6.0,2.0,2.0,0.517,1925.2,3.0,1.0,Potential Abuse,Potential Abuse,0.5082820053473786,2,Potential Abuse,Potential Abuse
acct_000123,200.0,62.0,9.0,15.0,19.0,0.155,1019636.0,7.0,3.39,Abusive,Abusive,0.6034328324558,1,Abusive,Abusive
acct_000124,48.0,3.0,3.0,2.0,2.0,0.5,270.2,2.0,0.82,Safe,Potential Abuse,0.4547321086342178,0,Safe,Safe
acct_000125,64.0,2.0,3.0,1.0,1.0,0.531,0.0,2.0,1.08,Safe,Safe,0.4593109989159742,0,Safe,Safe
acct_000126,360.0,115.0,11.0,16.0,20.0,0.136,1019636.0,10.0,6.08,Abusive,Abusive,0.6047840870705614,1,Abusive,Abusive
acct_000127,72.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.24,Safe,Potential Abuse,0.5052954213271552,0,Safe,Potential Abuse
acct_000128,40.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.7,Safe,Safe,0.4304943962818194,0,Safe,Safe
acct_000129,65.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.11,Safe,Safe,0.4254308941165351,0,Safe,Safe
acct_000130,75.0,2.0,3.0,1.0,1.0,0.973,0.0,2.0,1.28,Safe,Safe,0.4875243610312456,0,Safe,Safe
acct_000131,80.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.34,Safe,Safe,0.4717044796371033,0,Safe,Safe
acct_000132,48.0,2.0,1.0,2.0,2.0,0.979,3938.8,2.0,0.83,Safe,Potential Abuse,0.44364003870659685,0,Safe,Safe
acct_000133,48.0,2.0,2.0,1.0,2.0,0.979,46.6,1.0,0.82,Safe,Safe,0.5128765396785537,0,Safe,Potential Abuse
acct_000134,194.0,72.0,7.0,14.0,18.0,0.155,1019636.0,7.0,3.34,Abusive,Abusive,0.6159792202067073,1,Abusive,Abusive
acct_000135,25.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.47,Safe,Safe,0.4480117821449716,0,Safe,Safe
acct_000136,203.0,76.0,12.0,15.0,19.0,0.118,839470.9,7.0,3.44,Abusive,Abusive,0.6168210682626294,1,Abusive,Abusive
acct_000137,64.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.12,Safe,Safe,0.4272340006122183,0,Safe,Safe
acct_000138,81.0,2.0,3.0,2.0,2.0,0.988,4625.6,3.0,1.4,Safe,Potential Abuse,0.48588792369686246,0,Safe,Safe
acct_000139,56.0,2.0,2.0,2.0,2.0,0.982,2226.6,3.0,0.98,Safe,Potential Abuse,0.4677233125244313,0,Safe,Safe
acct_000140,64.0,2.0,1.0,2.0,2.0,0.984,116.1,2.0,1.09,Safe,Potential Abuse,0.4544371926609725,0,Safe,Safe
acct_000141,121.0,19.0,6.0,12.0,13.0,0.264,311744.9,4.0,2.06,Potential Abuse,Abusive,0.584531917443917,2,Potential Abuse,Abusive
acct_000142,143.0,52.0,10.0,16.0,20.0,0.126,812122.1,6.0,2.4,Abusive,Abusive,0.6247716302010592,1,Abusive,Abusive
acct_000143,25.0,2.0,3.0,2.0,2.0,0.96,47.6,2.0,0.42,Safe,Potential Abuse,0.5164195541562252,0,Safe,Potential Abuse
acct_000144,63.0,7.0,6.0,5.0,5.0,0.429,92981.5,3.0,1.08,Potential Abuse,Potential Abuse,0.4762134116412247,2,Potential Abuse,Safe
acct_000145,48.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.81,Safe,Safe,0.41942080355614614,0,Safe,Safe
acct_000146,81.0,4.0,2.0,4.0,4.0,0.963,10606.8,2.0,1.41,Safe,Potential Abuse,0.5274710007582314,0,Safe,Potential Abuse
acct_000147,41.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.71,Safe,Safe,0.43211671099759147,0,Safe,Safe
acct_000148,130.0,16.0,3.0,11.0,12.0,0.392,614415.0,4.0,2.17,Potential Abuse,Abusive,0.5749158419178464,2,Potential Abuse,Abusive
acct_000149,40.0,2.0,2.0,2.0,2.0,0.975,163.0,3.0,0.77,Safe,Potential Abuse,0.4918479837524284,0,Safe,Safe
acct_000150,33.0,2.0,2.0,1.0,1.0,0.545,0.0,2.0,0.57,Safe,Safe,0.4526347128576457,0,Safe,Safe
acct_000151,80.0,2.0,2.0,1.0,1.0,0.55,0.0,2.0,1.35,Safe,Safe,0.4741628102688512,0,Safe,Safe
acct_000152,250.0,78.0,15.0,16.0,20.0,0.136,826440.6,7.0,4.27,Abusive,Abusive,0.6151557159871651,1,Abusive,Abusive
acct_000153,24.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.54,Safe,Safe,0.4484411092133374,0,Safe,Safe
acct_000154,48.0,3.0,2.0,2.0,2.0,0.583,224.1,2.0,0.82,Safe,Potential Abuse,0.4486400121497985,0,Safe,Safe
acct_000155,96.0,3.0,3.0,3.0,3.0,0.667,51600.9,4.0,1.66,Potential Abuse,Potential Abuse,0.5343951492173254,2,Potential Abuse,Potential Abuse
acct_000156,96.0,8.0,6.0,6.0,7.0,0.448,271879.6,3.0,1.65,Potential Abuse,Potential Abuse,0.47914771959042923,2,Potential Abuse,Safe
acct_000157,64.0,2.0,1.0,2.0,2.0,0.984,1415.3,2.0,1.08,Safe,Potential Abuse,0.4372347141813502,0,Safe,Safe
acct_000158,64.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.08,Safe,Safe,0.4364707907747463,0,Safe,Safe
acct_000159,32.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.54,Safe,Safe,0.48828953225400673,0,Safe,Safe
acct_000160,83.0,3.0,2.0,2.0,2.0,0.518,616.7,3.0,1.39,Safe,Potential Abuse,0.47881122109349555,0,Safe,Safe
acct_000161,24.0,2.0,3.0,1.0,1.0,0.542,0.0,2.0,0.42,Safe,Safe,0.4844304205490506,0,Safe,Safe
acct_000162,73.0,2.0,2.0,2.0,2.0,0.986,355.4,2.0,1.25,Safe,Potential Abuse,0.4394372926957498,0,Safe,Safe
acct_000163,24.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.45,Safe,Safe,0.46364432512712644,0,Safe,Safe
acct_000164,24.0,2.0,2.0,1.0,1.0,0.542,0.0,2.0,0.49,Safe,Safe,0.46977090566953844,0,Safe,Safe
acct_000165,49.0,6.0,4.0,4.0,4.0,0.612,265269.8,3.0,0.86,Potential Abuse,Potential Abuse,0.48645711486366416,2,Potential Abuse,Safe
acct_000166,66.0,2.0,2.0,1.0,1.0,0.53,0.0,2.0,1.15,Safe,Safe,0.4499070390259846,0,Safe,Safe
acct_000167,81.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.38,Safe,Safe,0.4706882993934957,0,Safe,Safe
acct_000168,80.0,4.0,1.0,2.0,2.0,0.588,966.1,2.0,1.35,Safe,Potential Abuse,0.48338420433471657,0,Safe,Safe
acct_000169,96.0,7.0,3.0,6.0,6.0,0.469,59114.3,3.0,1.66,Potential Abuse,Potential Abuse,0.481349700622455,2,Potential Abuse,Safe
acct_000170,125.0,8.0,3.0,7.0,7.0,0.472,778370.9,3.0,2.12,Potential Abuse,Potential Abuse,0.5097863580061668,2,Potential Abuse,Potential Abuse
acct_000171,128.0,8.0,4.0,6.0,7.0,0.531,965670.0,3.0,2.2,Potential Abuse,Potential Abuse,0.5133829037984005,2,Potential Abuse,Potential Abuse
acct_000172,68.0,6.0,5.0,4.0,5.0,0.485,67408.0,3.0,1.19,Potential Abuse,Potential Abuse,0.4608838610529929,2,Potential Abuse,Safe
acct_000173,72.0,3.0,1.0,2.0,2.0,0.5,72663.7,2.0,1.23,Safe,Potential Abuse,0.4852559426416043,0,Safe,Safe
acct_000174,54.0,3.0,4.0,3.0,3.0,0.593,3306.0,3.0,0.95,Potential Abuse,Potential Abuse,0.4886422234218114,2,Potential Abuse,Safe
acct_000175,24.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.42,Safe,Safe,0.48709284973650036,0,Safe,Safe
acct_000176,40.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.69,Safe,Safe,0.43041377506421413,0,Safe,Safe
acct_000177,63.0,5.0,4.0,5.0,5.0,0.54,115284.3,3.0,1.08,Potential Abuse,Potential Abuse,0.4606995952219789,2,Potential Abuse,Safe
acct_000178,255.0,85.0,6.0,16.0,20.0,0.153,871458.7,11.0,4.29,Abusive,Abusive,0.6021827863018172,1,Abusive,Abusive
acct_000179,64.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.08,Safe,Safe,0.431928120421016,0,Safe,Safe
acct_000180,40.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.71,Safe,Safe,0.43073616985592894,0,Safe,Safe
acct_000181,56.0,3.0,1.0,2.0,2.0,0.589,1263.3,2.0,0.94,Safe,Potential Abuse,0.4514753932393818,0,Safe,Safe
acct_000182,32.0,2.0,3.0,1.0,1.0,0.5,0.0,1.0,0.54,Safe,Safe,0.5122571174517193,0,Safe,Potential Abuse
