account_id,num_logins,num_unique_ips,num_unique_devices,num_unique_countries,num_unique_cities,primary_ip_share,max_implied_speed_kmh,max_concurrent_streams,logins_per_day,ground_truth_label,rule_based_label
acct_000028,50.0,5.0,6.0,4.0,4.0,0.56,5547.9,2.0,0.88,Potential Abuse,Potential Abuse
acct_000029,42.0,2.0,2.0,2.0,2.0,0.976,667.9,2.0,0.76,Safe,Potential Abuse
acct_000030,78.0,9.0,5.0,6.0,8.0,0.474,245912.0,4.0,1.33,Potential Abuse,Potential Abuse
acct_000031,81.0,3.0,2.0,2.0,2.0,0.556,211.2,2.0,1.37,Safe,Potential Abuse
acct_000032,49.0,3.0,3.0,3.0,3.0,0.959,8647.0,4.0,0.84,Safe,Potential Abuse
acct_000033,57.0,3.0,2.0,2.0,2.0,0.509,383.4,2.0,0.98,Safe,Potential Abuse
acct_000034,24.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.44,Safe,Safe
acct_000035,56.0,2.0,3.0,2.0,2.0,0.982,30293.4,2.0,0.94,Safe,Potential Abuse
acct_000036,64.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.11,Safe,Safe
acct_000037,33.0,2.0,2.0,2.0,2.0,0.97,541.0,2.0,0.56,Safe,Potential Abuse
acct_000038,96.0,11.0,4.0,9.0,9.0,0.438,198326.0,3.0,1.62,Potential Abuse,Abusive
acct_000039,73.0,2.0,3.0,2.0,2.0,0.986,1834.9,2.0,1.25,Safe,Potential Abuse
acct_000040,24.0,2.0,2.0,1.0,1.0,0.958,0.0,1.0,0.5,Safe,Safe
acct_000041,88.0,9.0,6.0,7.0,7.0,0.489,385191.3,4.0,1.49,Potential Abuse,Potential Abuse
acct_000042,68.0,10.0,4.0,6.0,9.0,0.544,508814.9,3.0,1.15,Potential Abuse,Potential Abuse
acct_000043,186.0,68.0,6.0,16.0,20.0,0.129,838957.6,9.0,3.19,Abusive,Abusive
acct_000044,65.0,6.0,4.0,5.0,5.0,0.431,44928.6,2.0,1.14,Potential Abuse,Potential Abuse
acct_000045,57.0,6.0,6.0,4.0,4.0,0.351,104741.5,3.0,0.96,Potential Abuse,Potential Abuse
acct_000046,56.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.96,Safe,Safe
acct_000047,40.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.69,Safe,Safe
acct_000048,82.0,6.0,5.0,5.0,5.0,0.537,136282.6,3.0,1.54,Potential Abuse,Potential Abuse
acct_000049,72.0,3.0,3.0,2.0,2.0,0.528,2254.7,2.0,1.25,Safe,Potential Abuse
acct_000050,53.0,6.0,6.0,4.0,4.0,0.491,7110.5,3.0,0.91,Potential Abuse,Potential Abuse
acct_000051,49.0,2.0,2.0,1.0,1.0,0.51,0.0,2.0,0.86,Safe,Safe
acct_000052,40.0,2.0,1.0,1.0,1.0,0.525,0.0,2.0,0.69,Safe,Safe
acct_000053,81.0,2.0,3.0,2.0,2.0,0.988,305.5,2.0,1.43,Safe,Potential Abuse
acct_000054,67.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.12,Safe,Potential Abuse
acct_000055,32.0,3.0,1.0,3.0,3.0,0.938,2734.2,1.0,0.54,Safe,Potential Abuse
acct_000056,123.0,11.0,6.0,6.0,7.0,0.431,12731.1,3.0,2.12,Potential Abuse,Potential Abuse
acct_000057,65.0,3.0,3.0,2.0,2.0,0.969,49405.7,2.0,1.09,Safe,Potential Abuse
acct_000058,113.0,11.0,3.0,9.0,10.0,0.513,556116.2,4.0,1.91,Potential Abuse,Abusive
acct_000059,24.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.43,Safe,Safe
acct_000060,198.0,52.0,8.0,16.0,19.0,0.197,1112232.4,6.0,3.33,Abusive,Abusive
acct_000061,73.0,2.0,3.0,2.0,2.0,0.986,1839.4,3.0,1.22,Safe,Potential Abuse
acct_000062,67.0,7.0,3.0,5.0,6.0,0.552,116105.4,3.0,1.17,Potential Abuse,Potential Abuse
acct_000063,73.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.26,Safe,Potential Abuse
acct_000064,83.0,3.0,2.0,2.0,3.0,0.976,11401.6,2.0,1.4,Safe,Potential Abuse
acct_000065,359.0,111.0,6.0,16.0,20.0,0.092,959220.5,9.0,6.05,Abusive,Abusive
acct_000066,74.0,4.0,6.0,3.0,3.0,0.5,191171.2,3.0,1.25,Potential Abuse,Potential Abuse
acct_000067,112.0,11.0,3.0,7.0,8.0,0.527,680235.9,3.0,1.88,Potential Abuse,Potential Abuse
acct_000068,40.0,2.0,3.0,1.0,1.0,0.525,0.0,2.0,0.7,Safe,Safe
acct_000069,24.0,2.0,3.0,1.0,1.0,0.583,0.0,2.0,0.45,Safe,Safe
acct_000070,64.0,2.0,3.0,2.0,2.0,0.984,1661.5,2.0,1.08,Safe,Potential Abuse
acct_000071,82.0,3.0,2.0,3.0,3.0,0.976,23408.0,2.0,1.38,Safe,Potential Abuse
acct_000072,24.0,2.0,3.0,1.0,1.0,0.708,0.0,2.0,0.44,Safe,Safe
acct_000073,97.0,5.0,5.0,5.0,5.0,0.495,167148.0,3.0,1.66,Potential Abuse,Potential Abuse
acct_000074,84.0,3.0,2.0,3.0,3.0,0.964,150249.4,3.0,1.43,Safe,Potential Abuse
acct_000075,40.0,2.0,1.0,2.0,2.0,0.975,32.3,2.0,0.69,Safe,Potential Abuse
acct_000076,41.0,2.0,3.0,1.0,1.0,0.537,0.0,2.0,0.7,Safe,Safe
acct_000077,32.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.57,Safe,Safe
acct_000078,56.0,2.0,2.0,1.0,1.0,0.589,0.0,2.0,0.98,Safe,Safe
acct_000079,74.0,5.0,3.0,4.0,4.0,0.568,203030.5,2.0,1.27,Safe,Potential Abuse
acct_000080,64.0,2.0,2.0,1.0,1.0,0.5,0.0,2.0,1.08,Safe,Safe
acct_000081,40.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.72,Safe,Safe
acct_000082,32.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,0.54,Safe,Potential Abuse
acct_000083,40.0,2.0,1.0,1.0,1.0,0.575,0.0,1.0,0.68,Safe,Safe
acct_000084,81.0,2.0,2.0,2.0,2.0,0.988,250.4,2.0,1.39,Safe,Potential Abuse
acct_000085,24.0,2.0,1.0,2.0,2.0,0.958,152.0,2.0,0.44,Safe,Potential Abuse
acct_000086,81.0,3.0,3.0,2.0,2.0,0.531,21588.3,2.0,1.38,Safe,Potential Abuse
acct_000087,50.0,3.0,3.0,2.0,2.0,0.5,1038.0,2.0,0.86,Safe,Potential Abuse
acct_000088,24.0,2.0,1.0,1.0,1.0,0.958,0.0,1.0,0.41,Safe,Safe
acct_000089,70.0,5.0,6.0,5.0,5.0,0.486,381178.7,3.0,1.18,Potential Abuse,Potential Abuse
acct_000090,24.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.41,Safe,Safe
acct_000091,406.0,122.0,6.0,16.0,20.0,0.133,965670.0,10.0,6.83,Abusive,Abusive
acct_000092,41.0,2.0,2.0,1.0,1.0,0.512,0.0,2.0,0.73,Safe,Safe
acct_000093,65.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.13,Safe,Safe
acct_000094,48.0,2.0,1.0,2.0,2.0,0.979,1956.8,2.0,0.82,Safe,Potential Abuse
acct_000095,82.0,2.0,3.0,1.0,1.0,0.585,0.0,3.0,1.41,Safe,Potential Abuse
acct_000096,56.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.96,Safe,Potential Abuse
acct_000097,48.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.83,Safe,Safe
acct_000098,64.0,2.0,3.0,1.0,1.0,0.984,0.0,3.0,1.13,Safe,Potential Abuse
acct_000099,80.0,2.0,1.0,1.0,1.0,0.525,0.0,3.0,1.38,Safe,Potential Abuse
acct_000100,65.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.11,Safe,Potential Abuse
acct_000101,118.0,10.0,3.0,7.0,7.0,0.441,93160.5,3.0,1.98,Potential Abuse,Potential Abuse
acct_000102,375.0,124.0,6.0,16.0,20.0,0.211,1112232.4,8.0,6.3,Abusive,Abusive
acct_000103,70.0,4.0,3.0,4.0,4.0,0.571,733570.6,3.0,1.19,Potential Abuse,Potential Abuse
acct_000104,65.0,2.0,2.0,2.0,2.0,0.985,635.7,2.0,1.11,Safe,Potential Abuse
acct_000105,211.0,71.0,11.0,16.0,20.0,0.123,1019636.0,7.0,3.58,Abusive,Abusive
acct_000106,80.0,2.0,1.0,2.0,2.0,0.988,341.7,2.0,1.37,Safe,Potential Abuse
acct_000107,277.0,92.0,14.0,16.0,20.0,0.224,842707.3,7.0,4.67,Abusive,Abusive
acct_000108,73.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.25,Safe,Safe
acct_000109,48.0,2.0,1.0,1.0,1.0,0.542,0.0,2.0,0.82,Safe,Safe
acct_000110,40.0,2.0,3.0,1.0,1.0,0.5,0.0,2.0,0.74,Safe,Safe
acct_000111,80.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.36,Safe,Safe
acct_000112,397.0,117.0,9.0,16.0,19.0,0.151,965670.0,8.0,6.72,Abusive,Abusive
acct_000113,77.0,8.0,5.0,6.0,6.0,0.494,797944.1,4.0,1.3,Potential Abuse,Potential Abuse
acct_000114,72.0,2.0,1.0,2.0,2.0,0.986,963.1,2.0,1.25,Safe,Potential Abuse
acct_000115,57.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,0.96,Safe,Potential Abuse
acct_000116,32.0,3.0,1.0,2.0,2.0,0.5,89.6,2.0,0.56,Safe,Potential Abuse
acct_000117,81.0,3.0,2.0,2.0,2.0,0.58,600.4,3.0,1.38,Safe,Potential Abuse
acct_000118,118.0,9.0,3.0,6.0,7.0,0.492,107296.7,5.0,1.99,Potential Abuse,Potential Abuse
acct_000119,57.0,4.0,5.0,3.0,3.0,0.526,9272.9,4.0,1.0,Potential Abuse,Potential Abuse
acct_000120,32.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.59,Safe,Safe
acct_000121,72.0,2.0,3.0,2.0,2.0,0.986,674.0,2.0,1.22,Safe,Potential Abuse
acct_000122,58.0,3.0,6.0,2.0,2.0,0.517,1925.2,3.0,1.0,Potential Abuse,Potential Abuse
acct_000123,200.0,62.0,9.0,15.0,19.0,0.155,1019636.0,7.0,3.39,Abusive,Abusive
acct_000124,48.0,3.0,3.0,2.0,2.0,0.5,270.2,2.0,0.82,Safe,Potential Abuse
acct_000125,64.0,2.0,3.0,1.0,1.0,0.531,0.0,2.0,1.08,Safe,Safe
acct_000126,360.0,115.0,11.0,16.0,20.0,0.136,1019636.0,10.0,6.08,Abusive,Abusive
acct_000127,72.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.24,Safe,Potential Abuse
acct_000128,40.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.7,Safe,Safe
acct_000129,65.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.11,Safe,Safe
acct_000130,75.0,2.0,3.0,1.0,1.0,0.973,0.0,2.0,1.28,Safe,Safe
acct_000131,80.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.34,Safe,Safe
acct_000132,48.0,2.0,1.0,2.0,2.0,0.979,3938.8,2.0,0.83,Safe,Potential Abuse
acct_000133,48.0,2.0,2.0,1.0,2.0,0.979,46.6,1.0,0.82,Safe,Safe
acct_000134,194.0,72.0,7.0,14.0,18.0,0.155,1019636.0,7.0,3.34,Abusive,Abusive
acct_000135,25.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.47,Safe,Safe
acct_000136,203.0,76.0,12.0,15.0,19.0,0.118,839470.9,7.0,3.44,Abusive,Abusive
acct_000137,64.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.12,Safe,Safe
acct_000138,81.0,2.0,3.0,2.0,2.0,0.988,4625.6,3.0,1.4,Safe,Potential Abuse
acct_000139,56.0,2.0,2.0,2.0,2.0,0.982,2226.6,3.0,0.98,Safe,Potential Abuse
acct_000140,64.0,2.0,1.0,2.0,2.0,0.984,116.1,2.0,1.09,Safe,Potential Abuse
acct_000141,121.0,19.0,6.0,12.0,13.0,0.264,311744.9,4.0,2.06,Potential Abuse,Abusive
acct_000142,143.0,52.0,10.0,16.0,20.0,0.126,812122.1,6.0,2.4,Abusive,Abusive
acct_000143,25.0,2.0,3.0,2.0,2.0,0.96,47.6,2.0,0.42,Safe,Potential Abuse
acct_000144,63.0,7.0,6.0,5.0,5.0,0.429,92981.5,3.0,1.08,Potential Abuse,Potential Abuse
acct_000145,48.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.81,Safe,Safe
acct_000146,81.0,4.0,2.0,4.0,4.0,0.963,10606.8,2.0,1.41,Safe,Potential Abuse
acct_000147,41.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.71,Safe,Safe
acct_000148,130.0,16.0,3.0,11.0,12.0,0.392,614415.0,4.0,2.17,Potential Abuse,Abusive
acct_000149,40.0,2.0,2.0,2.0,2.0,0.975,163.0,3.0,0.77,Safe,Potential Abuse
acct_000150,33.0,2.0,2.0,1.0,1.0,0.545,0.0,2.0,0.57,Safe,Safe
acct_000151,80.0,2.0,2.0,1.0,1.0,0.55,0.0,2.0,1.35,Safe,Safe
acct_000152,250.0,78.0,15.0,16.0,20.0,0.136,826440.6,7.0,4.27,Abusive,Abusive
acct_000153,24.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.54,Safe,Safe
acct_000154,48.0,3.0,2.0,2.0,2.0,0.583,224.1,2.0,0.82,Safe,Potential Abuse
acct_000155,96.0,3.0,3.0,3.0,3.0,0.667,51600.9,4.0,1.66,Potential Abuse,Potential Abuse
acct_000156,96.0,8.0,6.0,6.0,7.0,0.448,271879.6,3.0,1.65,Potential Abuse,Potential Abuse
acct_000157,64.0,2.0,1.0,2.0,2.0,0.984,1415.3,2.0,1.08,Safe,Potential Abuse
acct_000158,64.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.08,Safe,Safe
acct_000159,32.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.54,Safe,Safe
acct_000160,83.0,3.0,2.0,2.0,2.0,0.518,616.7,3.0,1.39,Safe,Potential Abuse
acct_000161,24.0,2.0,3.0,1.0,1.0,0.542,0.0,2.0,0.42,Safe,Safe
acct_000162,73.0,2.0,2.0,2.0,2.0,0.986,355.4,2.0,1.25,Safe,Potential Abuse
acct_000163,24.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.45,Safe,Safe
acct_000164,24.0,2.0,2.0,1.0,1.0,0.542,0.0,2.0,0.49,Safe,Safe
acct_000165,49.0,6.0,4.0,4.0,4.0,0.612,265269.8,3.0,0.86,Potential Abuse,Potential Abuse
acct_000166,66.0,2.0,2.0,1.0,1.0,0.53,0.0,2.0,1.15,Safe,Safe
acct_000167,81.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.38,Safe,Safe
acct_000168,80.0,4.0,1.0,2.0,2.0,0.588,966.1,2.0,1.35,Safe,Potential Abuse
acct_000169,96.0,7.0,3.0,6.0,6.0,0.469,59114.3,3.0,1.66,Potential Abuse,Potential Abuse
acct_000170,125.0,8.0,3.0,7.0,7.0,0.472,778370.9,3.0,2.12,Potential Abuse,Potential Abuse
acct_000171,128.0,8.0,4.0,6.0,7.0,0.531,965670.0,3.0,2.2,Potential Abuse,Potential Abuse
acct_000172,68.0,6.0,5.0,4.0,5.0,0.485,67408.0,3.0,1.19,Potential Abuse,Potential Abuse
acct_000173,72.0,3.0,1.0,2.0,2.0,0.5,72663.7,2.0,1.23,Safe,Potential Abuse
acct_000174,54.0,3.0,4.0,3.0,3.0,0.593,3306.0,3.0,0.95,Potential Abuse,Potential Abuse
acct_000175,24.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.42,Safe,Safe
acct_000176,40.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.69,Safe,Safe
acct_000177,63.0,5.0,4.0,5.0,5.0,0.54,115284.3,3.0,1.08,Potential Abuse,Potential Abuse
acct_000178,255.0,85.0,6.0,16.0,20.0,0.153,871458.7,11.0,4.29,Abusive,Abusive
acct_000179,64.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.08,Safe,Safe
acct_000180,40.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.71,Safe,Safe
acct_000181,56.0,3.0,1.0,2.0,2.0,0.589,1263.3,2.0,0.94,Safe,Potential Abuse
acct_000182,32.0,2.0,3.0,1.0,1.0,0.5,0.0,1.0,0.54,Safe,Safe
acct_000183,65.0,9.0,5.0,4.0,8.0,0.446,188070.2,3.0,1.15,Potential Abuse,Potential Abuse
acct_000184,72.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.23,Safe,Safe
acct_000185,40.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.69,Safe,Safe
acct_000186,32.0,2.0,1.0,2.0,2.0,0.969,662.6,2.0,0.54,Safe,Potential Abuse
acct_000187,42.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.74,Safe,Safe
acct_000188,82.0,7.0,6.0,6.0,6.0,0.476,551775.2,3.0,1.4,Potential Abuse,Potential Abuse
acct_000189,33.0,3.0,2.0,3.0,3.0,0.939,278.4,2.0,0.57,Safe,Potential Abuse
acct_000190,72.0,3.0,3.0,3.0,3.0,0.972,714.0,2.0,1.21,Safe,Potential Abuse
acct_000191,56.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.95,Safe,Safe
acct_000192,24.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.47,Safe,Safe
acct_000193,48.0,2.0,2.0,1.0,1.0,0.562,0.0,2.0,0.83,Safe,Safe
acct_000194,80.0,3.0,2.0,2.0,2.0,0.562,5208.1,2.0,1.38,Safe,Potential Abuse
acct_000195,64.0,4.0,1.0,4.0,4.0,0.953,4325.0,2.0,1.11,Safe,Potential Abuse
acct_000196,49.0,2.0,3.0,2.0,2.0,0.98,6305.9,3.0,0.84,Safe,Potential Abuse
acct_000197,222.0,77.0,8.0,16.0,20.0,0.153,1000465.4,7.0,3.77,Abusive,Abusive
acct_000198,34.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.58,Safe,Safe
acct_000199,81.0,6.0,3.0,4.0,5.0,0.519,85033.8,3.0,1.37,Safe,Potential Abuse
acct_000200,40.0,2.0,1.0,1.0,1.0,0.55,0.0,1.0,0.68,Safe,Safe
acct_000201,32.0,2.0,3.0,1.0,2.0,0.969,252.0,2.0,0.56,Safe,Safe
acct_000202,49.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.85,Safe,Safe
acct_000203,82.0,8.0,3.0,7.0,7.0,0.476,353693.1,3.0,1.39,Potential Abuse,Potential Abuse
acct_000204,80.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.34,Safe,Safe
acct_000205,64.0,7.0,3.0,6.0,6.0,0.5,62885.5,3.0,1.09,Potential Abuse,Potential Abuse
acct_000206,24.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.43,Safe,Safe
acct_000207,61.0,6.0,6.0,4.0,5.0,0.492,121036.9,3.0,1.03,Potential Abuse,Potential Abuse
acct_000208,24.0,2.0,1.0,1.0,1.0,0.542,0.0,1.0,0.42,Safe,Safe
acct_000209,80.0,2.0,1.0,2.0,2.0,0.988,540.0,2.0,1.37,Safe,Potential Abuse
acct_000210,24.0,2.0,1.0,1.0,2.0,0.958,628.4,1.0,0.43,Safe,Safe
acct_000211,48.0,2.0,2.0,2.0,2.0,0.979,1872.8,2.0,0.83,Safe,Potential Abuse
acct_000212,80.0,2.0,1.0,2.0,2.0,0.988,9591.1,2.0,1.38,Safe,Potential Abuse
acct_000213,112.0,8.0,3.0,6.0,6.0,0.518,100158.0,4.0,1.93,Potential Abuse,Potential Abuse
acct_000214,56.0,2.0,3.0,1.0,1.0,0.536,0.0,2.0,0.97,Safe,Safe
acct_000215,32.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.54,Safe,Safe
acct_000216,32.0,2.0,3.0,1.0,1.0,0.531,0.0,2.0,0.54,Safe,Safe
acct_000217,72.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.2,Safe,Safe
acct_000218,64.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.1,Safe,Safe
acct_000219,48.0,2.0,3.0,2.0,2.0,0.979,2180.9,2.0,0.83,Safe,Potential Abuse
acct_000220,98.0,13.0,5.0,8.0,9.0,0.52,319775.1,5.0,1.65,Potential Abuse,Abusive
acct_000221,34.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.59,Safe,Safe
acct_000222,64.0,2.0,2.0,2.0,2.0,0.984,252.2,2.0,1.11,Safe,Potential Abuse
acct_000223,48.0,3.0,2.0,2.0,2.0,0.562,440.3,2.0,0.86,Safe,Potential Abuse
acct_000224,53.0,6.0,5.0,4.0,4.0,0.528,7546.8,2.0,0.9,Potential Abuse,Potential Abuse
acct_000225,375.0,110.0,9.0,16.0,20.0,0.192,965670.0,7.0,6.27,Abusive,Abusive
acct_000226,64.0,2.0,3.0,2.0,2.0,0.984,307.7,2.0,1.15,Safe,Potential Abuse
acct_000227,52.0,4.0,6.0,4.0,4.0,0.577,1662.4,3.0,0.94,Potential Abuse,Potential Abuse
acct_000228,64.0,3.0,5.0,3.0,3.0,0.547,334213.3,3.0,1.12,Potential Abuse,Potential Abuse
acct_000229,57.0,2.0,3.0,2.0,2.0,0.982,32404.4,2.0,1.0,Safe,Potential Abuse
acct_000230,32.0,2.0,2.0,1.0,1.0,0.969,0.0,1.0,0.56,Safe,Safe
acct_000231,41.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.73,Safe,Safe
acct_000232,32.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.59,Safe,Safe
acct_000233,74.0,2.0,2.0,1.0,1.0,0.608,0.0,2.0,1.25,Safe,Safe
acct_000234,54.0,7.0,5.0,4.0,4.0,0.296,15086.4,3.0,0.94,Potential Abuse,Potential Abuse
acct_000235,104.0,15.0,6.0,8.0,9.0,0.26,339354.8,3.0,1.8,Potential Abuse,Abusive
acct_000236,24.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.42,Safe,Safe
acct_000237,47.0,5.0,3.0,3.0,3.0,0.404,431501.8,3.0,0.83,Potential Abuse,Potential Abuse
acct_000238,108.0,10.0,5.0,5.0,6.0,0.407,839470.9,3.0,1.81,Potential Abuse,Potential Abuse
acct_000239,42.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.75,Safe,Safe
acct_000240,41.0,3.0,3.0,3.0,3.0,0.951,5168.6,2.0,0.69,Safe,Potential Abuse
acct_000241,32.0,2.0,1.0,1.0,1.0,0.656,0.0,2.0,0.6,Safe,Safe
acct_000242,57.0,2.0,3.0,1.0,1.0,0.509,0.0,2.0,1.0,Safe,Safe
acct_000243,68.0,2.0,3.0,2.0,2.0,0.985,347.2,2.0,1.16,Safe,Potential Abuse
acct_000244,83.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.43,Safe,Potential Abuse
acct_000245,73.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.24,Safe,Safe
acct_000246,56.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.98,Safe,Safe
acct_000247,33.0,3.0,2.0,2.0,2.0,0.939,2067.6,2.0,0.59,Safe,Potential Abuse
acct_000248,75.0,8.0,3.0,5.0,6.0,0.48,131717.9,3.0,1.4,Potential Abuse,Potential Abuse
acct_000249,64.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.12,Safe,Safe
acct_000250,96.0,9.0,6.0,5.0,6.0,0.396,313276.2,3.0,1.62,Potential Abuse,Potential Abuse
acct_000251,57.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.99,Safe,Safe
acct_000252,24.0,2.0,3.0,1.0,1.0,0.667,0.0,2.0,0.44,Safe,Safe
acct_000253,82.0,6.0,3.0,5.0,5.0,0.939,40063.2,2.0,1.44,Safe,Potential Abuse
acct_000254,56.0,2.0,1.0,1.0,1.0,0.536,0.0,2.0,0.95,Safe,Safe
acct_000255,32.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.55,Safe,Safe
acct_000256,40.0,3.0,1.0,3.0,3.0,0.95,476.4,1.0,0.68,Safe,Potential Abuse
